gene,exo_peaks,endo_peaks,exo_signal,endo_signal,enrichment
Mrps18b,0,2,0.0,0.23048982247420766,0.0
Mex3b,0,1,0.0,0.08689655172413792,0.0
Tmem259,0,3,0.0,0.1979949130024946,0.0
Usp32,0,1,0.0,0.27044025157232704,0.0
Wbp11,0,1,0.0,0.7008086253369273,0.0
Pip5k1c,1,4,0.3903225806451613,2.848451813323567,0.13702972920919235
Brf1,0,1,0.0,0.25157232704402516,0.0
Brat1,1,3,0.08814589665653498,2.3311129411799136,0.037812795381728326
Gm28438,0,1,0.0,0.9568733153638814,0.0
Nubp2,1,2,0.2857142857142857,0.9023100154788195,0.2857142857142857
AW549877,0,2,0.0,1.0207677293428756,0.0
Cspg5,0,1,0.0,0.11769991015274031,0.0
Colgalt1,0,1,0.0,0.46271338724168914,0.0
Crocc,0,1,0.0,0.4734950584007188,0.0
Aldoa,0,1,0.0,0.31176999101527403,0.0
Gxylt1,0,1,0.0,0.5112309074573226,0.0
Prr14,2,4,1.6223453279733309,3.016999478144112,0.537734706196007
Sft2d1,0,1,0.0,0.10512129380053908,0.0
Dbp,0,3,0.0,2.2012194009262354,0.0
Mus81,0,2,0.0,1.1429327384825108,0.0
Anapc15,0,2,0.0,0.5385097747622145,0.0
Ypel5,0,3,0.0,1.6815953051164718,0.0
Tsen34,0,2,0.0,0.4547119998671663,0.0
Rnf40,0,2,0.0,0.6264014623416055,0.0
Stt3a,2,3,1.047847828218453,1.802454866590847,0.5813448356686713
Ddx50,0,1,0.0,0.14465408805031446,0.0
Apc,0,3,0.0,1.7526237785483576,0.0
Per1,1,3,0.25806451612903225,2.3840057856469468,0.10824827594074038
1810013L24Rik,1,3,0.30967741935483867,1.9184090488780416,0.16142408186405802
Cep97,1,0,0.15161290322580642,0.0,0.15161290322580642
Imp4,2,1,0.85246592803216,0.7020689655172414,0.85246592803216
Rdh5,0,1,0.0,0.261455525606469,0.0
Srf,0,2,0.0,0.3462883119231188,0.0
Rora,1,0,0.16129032258064516,0.0,0.16129032258064516
Dnajb12,0,3,0.0,0.831746846900664,0.0
Rad23b,0,1,0.0,0.2443845462713387,0.0
Vkorc1l1,0,3,0.0,1.89498397056944,0.0
Tbc1d17,2,3,1.1772526718305716,2.6545549710574514,0.4434840056680419
Ralbp1,0,1,0.0,0.3522012578616352,0.0
Shb,0,1,0.0,0.05929919137466308,0.0
Srl,0,1,0.0,0.2192273135669362,0.0
Maml2,1,1,0.48632218844984804,0.20215633423180598,0.48632218844984804
Pcdhga7,0,1,0.0,0.2340862422997947,0.0
Gm22513,0,3,0.0,2.7085193256855966,0.0
Arid4a,0,3,0.0,1.1049576182148635,0.0
Napa,0,3,0.0,2.30257321457438,0.0
Aasdhppt,0,1,0.0,0.2533692722371968,0.0
Stk11,0,3,0.0,2.1545214483533486,0.0
Rita1,2,2,1.148965584861261,0.49223409858413103,1.148965584861261
G3bp1,3,3,2.515697617413472,2.894160592290847,0.8692322133452154
Prkag2,0,3,0.0,1.1963557549418695,0.0
Actr1a,0,1,0.0,0.21563342318059303,0.0
H3f3b,0,2,0.0,0.7195340335223225,0.0
Calr,0,1,0.0,0.5067385444743936,0.0
Dip2b,2,3,1.5880380429453869,2.3290872191493817,0.6818284991170759
Senp3,0,2,0.0,1.0598444712953496,0.0
Zhx1,0,1,0.0,0.07726864330637914,0.0
Cep170,0,1,0.0,0.20305480682839178,0.0
Ahcyl2,0,1,0.0,0.04761904761904764,0.0
Ndufa10,1,0,0.38601823708206684,0.0,0.38601823708206684
Slc25a18,0,2,0.0,0.5059590420423212,0.0
Reep6,0,3,0.0,0.9220948871800754,0.0
Creld2,0,1,0.0,0.2210242587601078,0.0
Pcdhga9,0,1,0.0,0.2340862422997947,0.0
Arid5a,0,2,0.0,0.8165950986770767,0.0
Pxmp4,0,1,0.0,0.025157232704402524,0.0
