annotation,count,percentage
"Exon (ENSMUST00000032559.16/20167, exon 3 of 10)",1,0.007411799584939223
"Exon (ENSMUST00000032571.9/384569, exon 4 of 4)",1,0.007411799584939223
"Exon (ENSMUST00000032803.11/22693, exon 5 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000033300.3/11870, exon 3 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000033740.11/22754, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000033965.13/23965, exon 29 of 29)",1,0.007411799584939223
"Exon (ENSMUST00000034279.15/382034, exon 15 of 16)",1,0.007411799584939223
"Exon (ENSMUST00000034430.5/56773, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000034443.6/12555, exon 11 of 14)",1,0.007411799584939223
"Exon (ENSMUST00000034510.8/58235, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000034707.14/20586, exon 29 of 34)",1,0.007411799584939223
"Exon (ENSMUST00000035208.13/12217, exon 5 of 12)",1,0.007411799584939223
"Exon (ENSMUST00000035208.13/12217, exon 6 of 12)",1,0.007411799584939223
"Exon (ENSMUST00000035323.5/272382, exon 6 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000035499.4/56741, exon 7 of 20)",1,0.007411799584939223
"Exon (ENSMUST00000035521.10/83434, exon 3 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000035939.7/ENSMUST00000035939.7, exon 1 of 1)",1,0.007411799584939223
"Exon (ENSMUST00000036155.9/446101, exon 19 of 19)",1,0.007411799584939223
"Exon (ENSMUST00000036453.13/269881, exon 9 of 10)",1,0.007411799584939223
"Exon (ENSMUST00000036467.4/217217, exon 3 of 5)",1,0.007411799584939223
"Exon (ENSMUST00000036554.13/239273, exon 12 of 31)",1,0.007411799584939223
"Exon (ENSMUST00000036999.9/269713, exon 3 of 16)",1,0.007411799584939223
"Exon (ENSMUST00000037007.3/14027, exon 22 of 22)",1,0.007411799584939223
"Exon (ENSMUST00000037007.3/14027, exon 7 of 22)",1,0.007411799584939223
"Exon (ENSMUST00000037099.8/29876, exon 5 of 6)",1,0.007411799584939223
"Exon (ENSMUST00000037261.3/14764, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000037540.4/18442, exon 3 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000037547.8/214240, exon 8 of 8)",1,0.007411799584939223
"Exon (ENSMUST00000038332.8/233189, exon 2 of 3)",1,0.007411799584939223
"Exon (ENSMUST00000038558.8/118445, exon 2 of 2)",1,0.007411799584939223
"Exon (ENSMUST00000038618.12/108075, exon 6 of 33)",1,0.007411799584939223
"Exon (ENSMUST00000038815.13/20678, exon 15 of 15)",1,0.007411799584939223
"Exon (ENSMUST00000039331.8/230868, exon 6 of 10)",1,0.007411799584939223
"Exon (ENSMUST00000040111.9/209683, exon 17 of 24)",1,0.007411799584939223
"Exon (ENSMUST00000040111.9/209683, exon 24 of 24)",1,0.007411799584939223
